input,reference
"Berapa biaya pendaftaran jalur PMDK?","Biaya pendaftaran jalur PMDK adalah Rp 50.000."
"Apakah ada beasiswa dari Bank BNI di Itenas?","Ya, Itenas menyediakan Beasiswa Bank Negara Indonesia (BNI) tahun 2026."
"Berapa total biaya masuk prodi Sistem Informasi jalur UTBK?","Total biaya masuk program studi Sistem Informasi jalur UTBK (tes) adalah Rp 20.400.000."
"Bagaimana pelaksanaan ujian jalur One Day Test (ODT)?","Ujian One Day Test (ODT) dilaksanakan secara daring, di mana peserta dapat memilih jadwal ujian (sesi 1 atau 2) sendiri dan hasilnya diumumkan 1 hari setelah tes."
"Apakah prodi Desain Komunikasi Visual mensyaratkan bebas buta warna?","Ya, pendaftar program studi Desain Komunikasi Visual wajib memenuhi persyaratan bebas buta warna total maupun parsial."
"Berapa syarat minimal pengalaman kerja untuk mendaftar RPL Tipe A Perolehan Kredit?","Calon peserta RPL Tipe A Perolehan Kredit diwajibkan mempunyai pengalaman kerja paling sedikit 2 (dua) tahun."
"Berapa biaya per SKS untuk program studi Sistem Informasi?","Biaya per SKS untuk program studi Sistem Informasi adalah Rp 300.000."
"Kapan periode pendaftaran jalur PMDK periode 3?","Pendaftaran jalur PMDK periode 3 berlangsung dari tanggal 10 April 2026 hingga 10 Mei 2026."
"Berapa akreditasi untuk program studi Informatika di Itenas?","Akreditasi program studi Informatika Itenas adalah Unggul."
"Siapa saja yang bisa mendaftar beasiswa KIP Kuliah di Itenas?","Beasiswa KIP Kuliah di Itenas ditujukan bagi lulusan MA/SMA/SMK tahun 2025 dan 2026 yang memiliki kartu KIP-K dan terdaftar di Data Terpadu Kesejahteraan Sosial (DTKS)."
